"","id","Value"
"1047","dumb",393.4
"1048","dumb",393.4
"1049","dumb",393.4
"1050","dumb",393.4
"1051","dumb",394.8
"1052","dumb",394.8
"1053","dumb",394.8
"1054","dumb",396.2
"1055","dumb",396.2
"1056","dumb",397.6
"1057","dumb",397.6
"1058","dumb",399
"1059","dumb",399
"1060","dumb",400.4
"1061","dumb",400.4
"1062","dumb",401.8
"1063","dumb",401.8
"1064","dumb",403.2
"1065","dumb",403.2
"1066","dumb",403.2
"1067","dumb",404.6
"1068","dumb",404.6
"1069","dumb",406
"1070","dumb",406
"1071","dumb",407.4
"1072","dumb",407.4
"1073","dumb",408.8
"1074","dumb",410.2
"1075","dumb",413
"1076","dumb",414.4
"1077","dumb",415.8
"1078","dumb",415.8
"1079","dumb",415.8
"1080","dumb",417.2
"1081","dumb",417.2
"1082","dumb",417.2
"1083","dumb",418.6
"1084","dumb",418.6
"1085","dumb",418.6
"1086","dumb",420
"1087","dumb",421.4
"1088","dumb",422.8
"1089","dumb",422.8
"1090","dumb",424.2
"1091","dumb",424.2
"1092","dumb",424.2
"1093","dumb",425.6
"1094","dumb",425.6
"1095","dumb",427
"1096","dumb",428.4
"1097","dumb",428.4
"1098","dumb",429.8
"1099","dumb",429.8
"1100","dumb",431.2
"1101","dumb",431.2
"1102","dumb",432.6
"1103","dumb",432.6
"1104","dumb",434
"1105","dumb",435.4
"1106","dumb",435.4
"1107","dumb",436.8
"1108","dumb",436.8
"1109","dumb",438.2
"1110","dumb",439.6
"1111","dumb",439.6
"1112","dumb",439.6
"1113","dumb",441
"1114","dumb",441
"1115","dumb",441
"1116","dumb",441
"1117","dumb",442.4
"1118","dumb",442.4
"1119","dumb",442.4
"1120","dumb",443.8
"1121","dumb",443.8
"1122","dumb",443.8
"1123","dumb",445.2
"1124","dumb",445.2
"1125","dumb",445.2
"1126","dumb",445.2
"1127","dumb",446.6
"1128","dumb",446.6
"1129","dumb",446.6
"1130","dumb",446.6
"1131","dumb",446.6
"1132","dumb",448
"1133","dumb",448
"1134","dumb",448
"1135","dumb",448
"1136","dumb",448
"1137","dumb",448
"1138","dumb",449.4
"1139","dumb",449.4
"1140","dumb",449.4
"1141","dumb",449.4
"1142","dumb",449.4
"1143","dumb",450.8
"1144","dumb",450.8
"1145","dumb",450.8
"1146","dumb",450.8
"1147","dumb",452.2
"1148","dumb",452.2
"1149","dumb",453.6
"1150","dumb",453.6
"1151","dumb",455
"1152","dumb",455
"1153","dumb",456.4
"1154","dumb",457.8
"1155","dumb",462
"1156","dumb",462
"1157","dumb",463.4
"1158","dumb",464.8
"1159","dumb",464.8
"1160","dumb",466.2
"1161","dumb",467.6
"1162","dumb",469
"1163","dumb",469
"1164","dumb",469
"1165","dumb",470.4
"1166","dumb",470.4
"1167","dumb",470.4
"1168","dumb",471.8
"1169","dumb",471.8
"1170","dumb",471.8
"1171","dumb",473.2
"1172","dumb",473.2
"1173","dumb",473.2
"1174","dumb",474.6
"1175","dumb",474.6
"1176","dumb",476
"1177","dumb",476
"1178","dumb",476
"1179","dumb",477.4
"1180","dumb",477.4
"1181","dumb",477.4
"1182","dumb",477.4
"1183","dumb",478.8
"1184","dumb",478.8
"1185","dumb",478.8
"1186","dumb",478.8
"1187","dumb",480.2
"1188","dumb",480.2
"1189","dumb",480.2
"1190","dumb",480.2
"1191","dumb",481.6
"1192","dumb",481.6
"1193","dumb",483
"1194","dumb",483
"1195","dumb",483
"1196","dumb",484.4
"1197","dumb",484.4
"1198","dumb",484.4
"1199","dumb",484.4
"1200","dumb",485.8
"1201","dumb",485.8
"1202","dumb",485.8
"1203","dumb",485.8
"1204","dumb",487.2
"1205","dumb",487.2
"1206","dumb",487.2
"1207","dumb",487.2
"1208","dumb",487.2
"1209","dumb",487.2
"1210","dumb",488.6
"1211","dumb",488.6
"1212","dumb",488.6
"1213","dumb",488.6
"1214","dumb",488.6
"1215","dumb",490
"1216","dumb",490
"1217","dumb",490
"1218","dumb",491.4
"1219","dumb",491.4
"1220","dumb",491.4
"1221","dumb",492.8
"1222","dumb",492.8
"1223","dumb",492.8
"1224","dumb",494.2
"1225","dumb",494.2
"1226","dumb",494.2
"1227","dumb",495.6
"1228","dumb",495.6
"1229","dumb",497
"1230","dumb",497
"1231","dumb",498.4
"1232","dumb",498.4
"1233","dumb",498.4
"1234","dumb",499.8
"1235","dumb",499.8
"1236","dumb",499.8
"1237","dumb",501.2
"1238","dumb",501.2
"1239","dumb",501.2
"1240","dumb",502.6
"1241","dumb",502.6
"1242","dumb",502.6
"1243","dumb",504
"1244","dumb",504
"1245","dumb",504
"1246","dumb",505.4
"1247","dumb",505.4
"1248","dumb",505.4
"1249","dumb",506.8
"1250","dumb",506.8
"1251","dumb",506.8
"1252","dumb",506.8
"1253","dumb",508.2
"1254","dumb",508.2
"1255","dumb",508.2
"1256","dumb",508.2
"1257","dumb",508.2
"1258","dumb",508.2
"1259","dumb",509.6
"1260","dumb",509.6
"1261","dumb",509.6
"1262","dumb",509.6
"1263","dumb",509.6
"1264","dumb",509.6
"1265","dumb",511
"1266","dumb",511
"1267","dumb",511
"1268","dumb",512.4
"1269","dumb",512.4
"1270","dumb",512.4
"1271","dumb",512.4
"1272","dumb",512.4
"1273","dumb",513.8
"1274","dumb",513.8
"1275","dumb",513.8
"1276","dumb",513.8
"1277","dumb",515.2
"1278","dumb",515.2
"1279","dumb",515.2
"1280","dumb",515.2
"1281","dumb",515.2
"1282","dumb",516.6
"1283","dumb",516.6
"1284","dumb",516.6
"1285","dumb",516.6
"1286","dumb",516.6
"1287","dumb",516.6
